C1,Room,Pointname,Acronym,Point
Point List,,,,
Location:,Cornell University / Biotech Server / Biotech,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
Location,Control Program,Name,Type,Path
/Cornell University/Biotech Server/Biotech/Biotech Building Performance/Airflow Performance,,,,
,"Biotech ACS-1, 2, and 3 Performance",,,
,,HOOD SASH POS,BAI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/hood_sash
,,SUPPLY FLOW,BAI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/supplyvalve_flow
,,VAV RHT STEMP,BAI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/dat
,,OCC SENSOR,BBI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/occ
,,GEX VALVE CMD,BAO,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/m012
,,HOOD CUTBACK CMD,BAO,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/hood_cutback
,,RHT RAD VLV CMD,BAO,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/hw_valve
,,SUPPLY VALVE CMD,BAO,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/m011
,,Clg Setpt,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/clg_setpt
,,GEX VALVE SETPT,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/gexvalve_setpt
,,Hood Count,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/hood_count
,,Hood Open,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/hoods_open_av
,,Htg Setpt,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/htg_setpt
,,Lab_Setback,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/lab_setback_av
,,LabSchedule,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/lab_schedule_av
,,Lab Schedule Count,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/lab_schedule_count_av
,,Lab Setback Count,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/lab_setback_count_av
,,NITE_SETBACK,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/nite_setback
,,Occ Exhaust Max Setpt,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/m186
,,Occ Max EAirflow Setpoint,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/occ_max_eflow_stpt_av
,,Occ Max SAirflow Setpoint,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/occ_max_sflow_stpt_av
,,Occ Min EAirflow Setpoint,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/occ_min_eflow_stpt_av
,,Occ Min SAirflow Setpoint,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/occ_min_sflow_stpt_av
,,Occupied Supply Min Setpt,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/m187
,,Occ Value for TOT,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/occ_value
,,SUPPLY VALVE SETPT,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/supplyvalve_setpt
,,Total Exhaust Airflow,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/exhaust_flow
,,Total Exh Stpt,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/tex_setpt
,,Unocc Min EAirflow Setpoint,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/unocc_min_eflow_stpt_av
,,Unocc Min SAirflow Setpoint,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/unocc_min_sflow_stpt_av
,,ZONE TEMP,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/zonetemp
,,CLG_OVERRIDE,BBV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/clg_override
,,Occupancy_Value,BBV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/occ_bv
,,RHT_OVERRIDE,BBV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/rht_override
,,Schedule,BBV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/m221
,,point name,BMSV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/m381
,,OCCUPANCY SENSOR TROUBLE,BALM,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/m204
,,GLOBAL_UNOCC_OVRIDE,BNI2,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/unocc_override
,,OAT,ANI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/m014
,,stmldshd1_4,BNI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/m143
,,stmldshd5,BNI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/m159
,Lab 260 Control,,,
,,ZONE TEMP,BRS,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/zone
,,ZONE TEMP / Zone Temp,BAI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/zone/zone_temp
,,ZONE TEMP / Override Time Remaining,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/zone/override_time_remaining
,,GEX VALVE FLOW,BAI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/gexvalve_flow
,,HOOD FLOW,BAI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/hoodvalve_flow
,,HOOD SASH POS,BAI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/hood_sash
,,SUPPLY FLOW,BAI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/supplyvalve_flow
,,VAV RHT STEMP,BAI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/dat
,,OCC SENSOR,BBI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/occ
,,GEX VALVE CMD,BAO,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/m012
,,HOOD CUTBACK CMD,BAO,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/hood_cutback
,,RHT RAD VLV CMD,BAO,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/hw_valve
,,SUPPLY VALVE CMD,BAO,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/m011
,,Clg Setpt,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/clg_setpt
,,GEX VALVE SETPT,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/gexvalve_setpt
,,Hood Count,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/hood_count
,,Hood Open,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/hoods_open_av
,,Htg Setpt,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/htg_setpt
,,Lab_Setback,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/lab_setback_av
,,LabSchedule,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/lab_schedule_av
,,Lab Schedule Count,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/lab_schedule_count_av
,,Lab Setback Count,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/lab_setback_count_av
,,NITE_SETBACK,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/nite_setback
,,Occ Exhaust Max Setpt,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/m186
,,Occ Max EAirflow Setpoint,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/occ_max_eflow_stpt_av
,,Occ Max SAirflow Setpoint,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/occ_max_sflow_stpt_av
,,Occ Min EAirflow Setpoint,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/occ_min_eflow_stpt_av
,,Occ Min SAirflow Setpoint,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/occ_min_sflow_stpt_av
,,Occupied Supply Min Setpt,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/m187
,,Occ Value for TOT,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/occ_value
,,SUPPLY VALVE SETPT,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/supplyvalve_setpt
,,Total Exhaust Airflow,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/exhaust_flow
,,Total Exh Stpt,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/tex_setpt
,,Unocc Min EAirflow Setpoint,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/unocc_min_eflow_stpt_av
,,Unocc Min SAirflow Setpoint,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/unocc_min_sflow_stpt_av
,,ZONE TEMP,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/zonetemp
,,CLG_OVERRIDE,BBV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/clg_override
,,Occupancy_Value,BBV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/occ_bv
,,RHT_OVERRIDE,BBV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/rht_override
,,Schedule,BBV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/m221
,,point name,BMSV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/m381
,,OCCUPANCY SENSOR TROUBLE,BALM,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/m204
,,GLOBAL_UNOCC_OVRIDE,BNI2,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/unocc_override
,,OAT,ANI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/m014
,,stmldshd1_4,BNI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/m143
,,stmldshd5,BNI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/m159
,Lab 260B Control,,,
,,ZONE TEMP,BRS,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/zone
,,ZONE TEMP / Zone Temp,BAI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/zone/zone_temp
,,ZONE TEMP / Override Time Remaining,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/zone/override_time_remaining
,,GEX VALVE FLOW,BAI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/gexvalve_flow
,,HOOD FLOW,BAI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/hoodvalve_flow
,,HOOD SASH POS,BAI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/hood_sash
,,SUPPLY FLOW,BAI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/supplyvalve_flow
,,VAV RHT STEMP,BAI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/dat
,,OCC SENSOR,BBI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/occ
,,GEX VALVE CMD,BAO,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/m012
,,HOOD CUTBACK CMD,BAO,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/hood_cutback
,,RHT RAD VLV CMD,BAO,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/hw_valve
,,SUPPLY VALVE CMD,BAO,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/m011
,,Clg Setpt,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/clg_setpt
,,GEX VALVE SETPT,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/gexvalve_setpt
,,Hood Count,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/hood_count
,,Hood Open,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/hoods_open_av
,,Htg Setpt,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/htg_setpt
,,Lab_Setback,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/lab_setback_av
,,LabSchedule,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/lab_schedule_av
,,Lab Schedule Count,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/lab_schedule_count_av
,,Lab Setback Count,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/lab_setback_count_av
,,NITE_SETBACK,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/nite_setback
,,Occ Exhaust Max Setpt,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/m186
,,Occ Max EAirflow Setpoint,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/occ_max_eflow_stpt_av
,,Occ Max SAirflow Setpoint,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/occ_max_sflow_stpt_av
,,Occ Min EAirflow Setpoint,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/occ_min_eflow_stpt_av
,,Occ Min SAirflow Setpoint,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/occ_min_sflow_stpt_av
,,Occupied Supply Min Setpt,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/m187
,,Occ Value for TOT,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/occ_value
,,SUPPLY VALVE SETPT,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/supplyvalve_setpt
,,Total Exhaust Airflow,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/exhaust_flow
,,Total Exh Stpt,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/tex_setpt
,,Unocc Min EAirflow Setpoint,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/unocc_min_eflow_stpt_av
,,Unocc Min SAirflow Setpoint,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/unocc_min_sflow_stpt_av
,,ZONE TEMP,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/zonetemp
,,CLG_OVERRIDE,BBV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/clg_override
,,Occupancy_Value,BBV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/occ_bv
,,RHT_OVERRIDE,BBV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/rht_override
,,Schedule,BBV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/m221
,,point name,BMSV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/m381
,,OCCUPANCY SENSOR TROUBLE,BALM,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/m204
,,GLOBAL_UNOCC_OVRIDE,BNI2,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/unocc_override
,,OAT,ANI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/m014
,,stmldshd1_4,BNI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/m143
,,stmldshd5,BNI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/m159
,Lab 267 Control,,,
,,ZONE TEMP,BRS,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/zone
,,ZONE TEMP / Zone Temp,BAI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/zone/zone_temp
,,ZONE TEMP / Override Time Remaining,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/zone/override_time_remaining
,,GEX VALVE FLOW,BAI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/gexvalve_flow
,,HOOD FLOW,BAI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/hoodvalve_flow
,,HOOD SASH POS,BAI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/hood_sash
,,SUPPLY FLOW,BAI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/supplyvalve_flow
,,VAV RHT STEMP,BAI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/dat
,,OCC SENSOR,BBI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/occ
,,GEX VALVE CMD,BAO,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/m012
,,HOOD CUTBACK CMD,BAO,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/hood_cutback
,,RHT RAD VLV CMD,BAO,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/hw_valve
,,SUPPLY VALVE CMD,BAO,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/m011
,,Clg Setpt,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/clg_setpt
,,GEX VALVE SETPT,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/gexvalve_setpt
,,Hood Count,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/hood_count
,,Hood Open,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/hoods_open_av
,,Htg Setpt,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/htg_setpt
,,Lab_Setback,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/lab_setback_av
,,LabSchedule,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/lab_schedule_av
,,Lab Schedule Count,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/lab_schedule_count_av
,,Lab Setback Count,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/lab_setback_count_av
,,NITE_SETBACK,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/nite_setback
,,Occ Exhaust Max Setpt,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/m186
,,Occ Max EAirflow Setpoint,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/occ_max_eflow_stpt_av
,,Occ Max SAirflow Setpoint,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/occ_max_sflow_stpt_av
,,Occ Min EAirflow Setpoint,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/occ_min_eflow_stpt_av
,,Occ Min SAirflow Setpoint,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/occ_min_sflow_stpt_av
,,Occupied Supply Min Setpt,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/m187
,,Occ Value for TOT,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/occ_value
,,SUPPLY VALVE SETPT,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/supplyvalve_setpt
,,Total Exhaust Airflow,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/exhaust_flow
,,Total Exh Stpt,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/tex_setpt
,,Unocc Min EAirflow Setpoint,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/unocc_min_eflow_stpt_av
,,Unocc Min SAirflow Setpoint,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/unocc_min_sflow_stpt_av
,,ZONE TEMP,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/zonetemp
,,CLG_OVERRIDE,BBV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/clg_override
,,Occupancy_Value,BBV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/occ_bv
,,RHT_OVERRIDE,BBV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/rht_override
,,Schedule,BBV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/m221
,,point name,BMSV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/m381
,,OCCUPANCY SENSOR TROUBLE,BALM,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/m204
,,GLOBAL_UNOCC_OVRIDE,BNI2,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/unocc_override
,,OAT,ANI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/m014
,,stmldshd1_4,BNI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/m143
,,stmldshd5,BNI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/m159
,Lab 267B Control,,,
,,ZONE TEMP,BRS,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/zone
,,ZONE TEMP / Zone Temp,BAI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/zone/zone_temp
,,ZONE TEMP / Override Time Remaining,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/zone/override_time_remaining
,,GEX VALVE FLOW,BAI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/gexvalve_flow
,,HOOD FLOW,BAI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/hoodvalve_flow
,,HOOD SASH POS,BAI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/hood_sash
,,SUPPLY FLOW,BAI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/supplyvalve_flow
,,VAV RHT STEMP,BAI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/dat
,,OCC SENSOR,BBI,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/occ
,,GEX VALVE CMD,BAO,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/m012
,,HOOD CUTBACK CMD,BAO,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/hood_cutback
,,RHT RAD VLV CMD,BAO,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/hw_valve
,,SUPPLY VALVE CMD,BAO,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/m011
,,Clg Setpt,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/clg_setpt
,,GEX VALVE SETPT,BAV,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/gexvalve_setpt
